Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e57d:72da:1edd:929c:d54a:3c03,Arizona,2021-03-15T22:38:43.699Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-03-15T05:39:57.811Z
NFANDROID2-PRV-TVAFTBL-AMAZOAFTEAMR311-8075-0E752D7BD580F0ADBC6284C77058814D507DA7FF8CD550E9E2BFE52F349C76D0,US,Amazon TVAFTBL Smart TV,Amazon TVAFTBL Smart TV,68.2.124.173,Arizona,2021-03-12T23:25:59.219Z
LGTV20203=31012608675,US,LG DTV 2020 RTK K6Lp UHD TV Smart TV,LG DTV 2020 RTK K6Lp UHD TV Smart TV,68.2.124.173,Arizona,2021-03-06T02:15:55.477Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,68.2.124.173,Arizona,2021-02-14T07:35:29.752Z
NFANDROID1-PRV-P-GOOGLPIXEL=3A=XL-10944-000897CDC1C38CC7EBA61C1FCEB2EBAD5CE8FCDA8541C0549EEAE83D32C2BB956,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,72.214.215.25,Arizona,2021-02-04T03:50:45.794Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,72.214.215.25,Arizona,2020-12-27T06:48:44.482Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,72.214.215.25,Arizona,2020-11-21T03:29:44.030Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,72.214.215.25,Arizona,2020-10-17T05:41:54.544Z
SSTV-HKM2-0000000000000010174078,US,Samsung 2015 Hawk-M UHD TV,Samsung 2015 Hawk-M UHD TV,72.215.203.195,Arizona,2020-10-11T02:23:00.010Z
